m_ratings,teams,date
1037,Pakistan,1975-01-11
1010,Zimbabwe,1975-01-11
1003,ICC World XI,1975-01-11
1003,Africa XI,1975-01-11
1001,Bermuda,1975-01-11
1001,Afghanistan,1975-01-11
1001,Papua New Guinea,1975-01-11
999,United States of America,1975-01-11
999,Ireland,1975-01-11
998,Scotland,1975-01-11
997,Bangladesh,1975-01-11
997,United Arab Emirates,1975-01-11
997,Kenya,1975-01-11
997,Asia XI,1975-01-11
997,Oman,1975-01-11
996,South Africa,1975-01-11
996,Netherlands,1975-01-11
996,Nepal,1975-01-11
995,Namibia,1975-01-11
994,Hong Kong,1975-01-11
982,Canada,1975-01-11
960,Sri Lanka,1975-01-11
944,East Africa,1975-01-11
919,New Zealand,1975-01-11
895,India,1975-01-11
1064,England,1975-02-11
1054,West Indies,1975-02-11
1048,Australia,1975-02-11
1031,Pakistan,1975-02-11
1010,Zimbabwe,1975-02-11
1003,ICC World XI,1975-02-11
1003,Africa XI,1975-02-11
1001,Bermuda,1975-02-11
1001,Afghanistan,1975-02-11
1001,Papua New Guinea,1975-02-11
999,United States of America,1975-02-11
999,Ireland,1975-02-11
998,Scotland,1975-02-11
997,Bangladesh,1975-02-11
997,Kenya,1975-02-11
997,Asia XI,1975-02-11
997,Oman,1975-02-11
996,South Africa,1975-02-11
996,United Arab Emirates,1975-02-11
996,Netherlands,1975-02-11
996,Nepal,1975-02-11
995,Namibia,1975-02-11
994,Hong Kong,1975-02-11
981,Canada,1975-02-11
958,Sri Lanka,1975-02-11
942,East Africa,1975-02-11
912,New Zealand,1975-02-11
892,India,1975-02-11
1101,England,1975-03-11
1058,Australia,1975-03-11
1056,West Indies,1975-03-11
1026,Pakistan,1975-03-11
1010,Zimbabwe,1975-03-11
1003,ICC World XI,1975-03-11
1003,Africa XI,1975-03-11
1001,Bermuda,1975-03-11
1001,Afghanistan,1975-03-11
1001,Papua New Guinea,1975-03-11
999,United States of America,1975-03-11
999,Ireland,1975-03-11
998,Scotland,1975-03-11
997,Bangladesh,1975-03-11
997,Kenya,1975-03-11
997,Asia XI,1975-03-11
996,South Africa,1975-03-11
996,United Arab Emirates,1975-03-11
996,Netherlands,1975-03-11
996,Nepal,1975-03-11
996,Oman,1975-03-11
995,Namibia,1975-03-11
994,Hong Kong,1975-03-11
980,Canada,1975-03-11
956,Sri Lanka,1975-03-11
940,East Africa,1975-03-11
897,New Zealand,1975-03-11
890,India,1975-03-11
1110,England,1975-04-11
1069,Australia,1975-04-11
1059,West Indies,1975-04-11
1020,Pakistan,1975-04-11
1011,Zimbabwe,1975-04-11
1003,ICC World XI,1975-04-11
1003,Africa XI,1975-04-11
1001,Bermuda,1975-04-11
1001,Afghanistan,1975-04-11
1001,Papua New Guinea,1975-04-11
999,United States of America,1975-04-11
999,Ireland,1975-04-11
998,Scotland,1975-04-11
997,Bangladesh,1975-04-11
997,Kenya,1975-04-11
997,Asia XI,1975-04-11
996,South Africa,1975-04-11
996,United Arab Emirates,1975-04-11
996,Netherlands,1975-04-11
996,Nepal,1975-04-11
996,Oman,1975-04-11
995,Namibia,1975-04-11
994,Hong Kong,1975-04-11
979,Canada,1975-04-11
954,Sri Lanka,1975-04-11
937,East Africa,1975-04-11
920,New Zealand,1975-04-11
887,India,1975-04-11
1119,England,1975-05-11
1080,Australia,1975-05-11
1062,West Indies,1975-05-11
1012,Pakistan,1975-05-11
1011,Zimbabwe,1975-05-11
1004,ICC World XI,1975-05-11
1003,Africa XI,1975-05-11
1001,Bermuda,1975-05-11
1001,Afghanistan,1975-05-11
1001,Papua New Guinea,1975-05-11
999,United States of America,1975-05-11
999,Ireland,1975-05-11
998,Scotland,1975-05-11
997,Bangladesh,1975-05-11
997,Kenya,1975-05-11
996,South Africa,1975-05-11
996,United Arab Emirates,1975-05-11
996,Netherlands,1975-05-11
996,Asia XI,1975-05-11
996,Nepal,1975-05-11
996,Oman,1975-05-11
995,Namibia,1975-05-11
994,Hong Kong,1975-05-11
979,Canada,1975-05-11
952,Sri Lanka,1975-05-11
941,New Zealand,1975-05-11
934,East Africa,1975-05-11
886,India,1975-05-11
1202,West Indies,1975-06-11
1112,England,1975-06-11
1093,Australia,1975-06-11
1012,Zimbabwe,1975-06-11
1007,Pakistan,1975-06-11
1004,ICC World XI,1975-06-11
1003,Africa XI,1975-06-11
1001,Bermuda,1975-06-11
1001,Afghanistan,1975-06-11
1001,Papua New Guinea,1975-06-11
999,United States of America,1975-06-11
999,Ireland,1975-06-11
998,Scotland,1975-06-11
997,Bangladesh,1975-06-11
997,Kenya,1975-06-11
996,South Africa,1975-06-11
996,United Arab Emirates,1975-06-11
996,Netherlands,1975-06-11
996,Asia XI,1975-06-11
996,Nepal,1975-06-11
996,Oman,1975-06-11
994,Namibia,1975-06-11
993,Hong Kong,1975-06-11
978,Canada,1975-06-11
953,New Zealand,1975-06-11
891,India,1975-06-11
880,Sri Lanka,1975-06-11
861,East Africa,1975-06-11
1212,West Indies,1975-07-11
1099,Australia,1975-07-11
1098,England,1975-07-11
1012,Zimbabwe,1975-07-11
1007,Pakistan,1975-07-11
1004,ICC World XI,1975-07-11
1003,Africa XI,1975-07-11
1001,Bermuda,1975-07-11
1001,Afghanistan,1975-07-11
1001,Papua New Guinea,1975-07-11
999,United States of America,1975-07-11
999,Ireland,1975-07-11
998,Scotland,1975-07-11
997,Bangladesh,1975-07-11
996,United Arab Emirates,1975-07-11
996,Kenya,1975-07-11
996,Asia XI,1975-07-11
996,Oman,1975-07-11
995,South Africa,1975-07-11
995,Netherlands,1975-07-11
995,Nepal,1975-07-11
994,Namibia,1975-07-11
993,Hong Kong,1975-07-11
977,Canada,1975-07-11
956,New Zealand,1975-07-11
882,India,1975-07-11
876,Sri Lanka,1975-07-11
860,East Africa,1975-07-11
1200,West Indies,1975-08-11
1111,Australia,1975-08-11
1095,England,1975-08-11
1013,Zimbabwe,1975-08-11
1004,Pakistan,1975-08-11
1004,ICC World XI,1975-08-11
1003,Africa XI,1975-08-11
1001,Bermuda,1975-08-11
1001,Afghanistan,1975-08-11
1001,Papua New Guinea,1975-08-11
999,United States of America,1975-08-11
999,Ireland,1975-08-11
998,Scotland,1975-08-11
997,Bangladesh,1975-08-11
996,United Arab Emirates,1975-08-11
996,Kenya,1975-08-11
996,Asia XI,1975-08-11
996,Oman,1975-08-11
995,South Africa,1975-08-11
995,Netherlands,1975-08-11
995,Nepal,1975-08-11
994,Namibia,1975-08-11
993,Hong Kong,1975-08-11
976,Canada,1975-08-11
961,New Zealand,1975-08-11
877,India,1975-08-11
875,Sri Lanka,1975-08-11
860,East Africa,1975-08-11
1188,West Indies,1975-09-11
1123,Australia,1975-09-11
1092,England,1975-09-11
1013,Zimbabwe,1975-09-11
1004,ICC World XI,1975-09-11
1003,Africa XI,1975-09-11
1001,Pakistan,1975-09-11
1001,Bermuda,1975-09-11
1001,Afghanistan,1975-09-11
1001,Papua New Guinea,1975-09-11
999,United States of America,1975-09-11
999,Ireland,1975-09-11
998,Scotland,1975-09-11
996,Bangladesh,1975-09-11
996,Kenya,1975-09-11
996,Asia XI,1975-09-11
996,Oman,1975-09-11
995,South Africa,1975-09-11
995,United Arab Emirates,1975-09-11
995,Netherlands,1975-09-11
995,Nepal,1975-09-11
994,Namibia,1975-09-11
993,Hong Kong,1975-09-11
976,Canada,1975-09-11
966,New Zealand,1975-09-11
875,Sri Lanka,1975-09-11
872,India,1975-09-11
860,East Africa,1975-09-11
1177,West Indies,1975-10-11
1134,Australia,1975-10-11
1090,England,1975-10-11
1013,Zimbabwe,1975-10-11
1004,ICC World XI,1975-10-11
1004,Africa XI,1975-10-11
1001,Bermuda,1975-10-11
1001,Afghanistan,1975-10-11
1001,Papua New Guinea,1975-10-11
999,United States of America,1975-10-11
999,Ireland,1975-10-11
998,Pakistan,1975-10-11
998,Scotland,1975-10-11
996,Bangladesh,1975-10-11
996,Kenya,1975-10-11
996,Asia XI,1975-10-11
996,Oman,1975-10-11
995,South Africa,1975-10-11
995,United Arab Emirates,1975-10-11
995,Netherlands,1975-10-11
995,Nepal,1975-10-11
994,Namibia,1975-10-11
992,Hong Kong,1975-10-11
975,Canada,1975-10-11
971,New Zealand,1975-10-11
874,Sri Lanka,1975-10-11
867,India,1975-10-11
